GlaxoSmithKline,3334
National Cancer Institute (NCI),3150
Pfizer,3012
AstraZeneca,2580
Merck Sharp & Dohme Corp.,2209
M.D. Anderson Cancer Center,2204
National Institute of Allergy and Infectious Diseases (NIAID),2186
Mayo Clinic,2123
Assistance Publique - Hôpitaux de Paris,2092
Novartis Pharmaceuticals,2000
Boehringer Ingelheim,1920
Massachusetts General Hospital,1862
Assiut University,1849
Hoffmann-La Roche,1819
National Taiwan University Hospital,1704
Eli Lilly and Company,1619
Cairo University,1602
"University of California, San Francisco",1546
Memorial Sloan Kettering Cancer Center,1534
Duke University,1503
Stanford University,1474
Bayer,1414
Seoul National University Hospital,1362
Johns Hopkins University,1300
Washington University School of Medicine,1293
Sanofi,1239
Yale University,1199
University of Pennsylvania,1186
VA Office of Research and Development,1175
Hospices Civils de Lyon,1161
Bristol-Myers Squibb,1159
"National Heart, Lung, and Blood Institute (NHLBI)",1105
University of Pittsburgh,1096
"University Health Network, Toronto",1036
Emory University,1029
Novo Nordisk A/S,1026
"University of Colorado, Denver",1020
University of Michigan,1018
University of Washington,1005
Yonsei University,1002
Northwestern University,996
"University of North Carolina, Chapel Hill",994
NYU Langone Health,971
University of British Columbia,963
University of Florida,926
University of Aarhus,925
University of Alabama at Birmingham,922
Sun Yat-sen University,857
[Redacted],850
University of Minnesota,828
University of Sao Paulo,820
Medical University of Vienna,813
University of Zurich,813
"University of Wisconsin, Madison",806
"University Hospital, Montpellier",801
"University of California, Los Angeles",790
Brigham and Women's Hospital,786
Amgen,765
Columbia University,755
Samsung Medical Center,742
Wake Forest University Health Sciences,705
Chinese University of Hong Kong,702
Novartis,698
Takeda,693
University of Texas Southwestern Medical Center,693
Dana-Farber Cancer Institute,689
US Department of Veterans Affairs,680
Radboud University,671
"Rigshospitalet, Denmark",667
The University of Hong Kong,663
"University Hospital, Basel, Switzerland",659
Weill Medical College of Cornell University,659
University of Chicago,651
University of Utah,649
Karolinska Institutet,649
"Janssen Research & Development, LLC",645
The Cleveland Clinic,642
Maastricht University Medical Center,627
"Charite University, Berlin, Germany",627
"University of California, San Diego",625
Universitaire Ziekenhuizen Leuven,612
Oslo University Hospital,610
Hadassah Medical Organization,608
Indiana University,593
Ain Shams University,591
Sheba Medical Center,588
Chang Gung Memorial Hospital,586
Imperial College London,582
"University of California, Davis",573
Medical University of South Carolina,572
National Institute of Neurological Disorders and Stroke (NINDS),572
University of Oxford,559
Nantes University Hospital,555
Baylor College of Medicine,555
"The University of Texas Health Science Center, Houston",554
"University Hospital, Grenoble",553
Gilead Sciences,534
Allergan,530
University of Southern California,530
"University Hospital, Clermont-Ferrand",529
Assistance Publique Hopitaux De Marseille,529
University of Miami,525
Lawson Health Research Institute,523
Oregon Health and Science University,516
Vanderbilt University Medical Center,514
University of Rochester,513
Astellas Pharma Inc,512
Alcon Research,506
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),501
University of Alberta,498
"University Hospital, Bordeaux",495
Vanderbilt University,495
AbbVie,493
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,488
McMaster University,486
"University Hospital, Toulouse",484
"Children's Hospital Medical Center, Cincinnati",484
Wyeth is now a wholly owned subsidiary of Pfizer,484
"University Hospital, Strasbourg, France",480
"University Hospital Inselspital, Berne",478
Tel-Aviv Sourasky Medical Center,471
Mahidol University,469
Alliance for Clinical Trials in Oncology,467
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",465
University of Virginia,462
Icahn School of Medicine at Mount Sinai,454
Fudan University,454
Virginia Commonwealth University,452
Boston Children's Hospital,451
"Genentech, Inc.",447
Abbott Medical Devices,445
The Hospital for Sick Children,445
"University Hospital, Lille",442
Asan Medical Center,434
Norwegian University of Science and Technology,428
Fred Hutchinson Cancer Research Center,426
Mansoura University,425
"University College, London",425
University of Calgary,423
"University Hospital, Ghent",422
University of Sao Paulo General Hospital,421
"University of Maryland, Baltimore",421
Peking Union Medical College Hospital,421
Ottawa Hospital Research Institute,416
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),412
Rambam Health Care Campus,411
Beth Israel Deaconess Medical Center,405
Sunnybrook Health Sciences Centre,405
Case Comprehensive Cancer Center,398
Children's Oncology Group,398
City of Hope Medical Center,396
Federal University of São Paulo,393
University of Manitoba,386
New York State Psychiatric Institute,380
"Central Hospital, Nancy, France",380
Celgene,377
Centre Hospitalier Universitaire de Nice,375
Centre Hospitalier Universitaire de Nīmes,374
H. Lee Moffitt Cancer Center and Research Institute,374
Milton S. Hershey Medical Center,371
National Institute on Drug Abuse (NIDA),370
Boston Scientific Corporation,367
Medical College of Wisconsin,367
Rennes University Hospital,366
Children's Hospital of Philadelphia,361
University Medical Center Groningen,360
Biogen,354
Shire,354
Centre Hospitalier Universitaire de Saint Etienne,353
Ohio State University,352
Abbott,352
Hospital de Clinicas de Porto Alegre,348
Centre Hospitalier Universitaire Dijon,346
University of Nebraska,345
"Centre Hospitalier Universitaire, Amiens",345
Meir Medical Center,343
Eisai Inc.,343
Dartmouth-Hitchcock Medical Center,342
"University Hospital, Brest",340
National Institutes of Health Clinical Center (CC),336
Rabin Medical Center,335
"University of California, Irvine",334
University of Copenhagen,333
National Institute of Mental Health (NIMH),331
University Hospital Tuebingen,331
"St. Michael's Hospital, Toronto",328
European Organisation for Research and Treatment of Cancer - EORTC,326
"University Hospital, Caen",324
St. Jude Children's Research Hospital,319
Hacettepe University,319
Roswell Park Cancer Institute,319
"National University Hospital, Singapore",315
Odense University Hospital,315
Northwell Health,311
Jonsson Comprehensive Cancer Center,310
Cedars-Sinai Medical Center,309
University of Arkansas,306
"Sanofi Pasteur, a Sanofi Company",306
Centre Hospitalier Universitaire de Besancon,304
"Genzyme, a Sanofi Company",301
Southwest Oncology Group,301
University of Nottingham,297
Medical University of Graz,296
The University of Texas Health Science Center at San Antonio,293
University of Edinburgh,292
University of Arizona,292
"University Hospital, Angers",291
University of Illinois at Chicago,287
Abramson Cancer Center of the University of Pennsylvania,282
Hillel Yaffe Medical Center,280
"Jiangsu HengRui Medicine Co., Ltd.",278
University of Toronto,276
Kaiser Permanente,275
