Disease,Number,Sponsor,Phase,Study Type,URL
Kidney Cancer,NCT02143492,Argos Therapeutics,None,Observational,https://clinicaltrials.gov/show/NCT02143492
T-cell Lymphoma,NCT02846935,Yogen Saunthararajah,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02846935
Uveal Melanoma,NCT02849145,Institut Curie,N/A,Interventional,https://clinicaltrials.gov/show/NCT02849145
Uveal Melanoma,NCT02843386,Institut Curie,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02843386
Cholangiocarcinoma,NCT03473574,AIO-Studien-gGmbH,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03473574
Ureteral Cancer,NCT03474107,"Astellas Pharma Global Development, Inc.",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03474107
Kidney Cancer,NCT00176501,"Rutgers, The State University of New Jersey",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00176501
Male Breast Cancer,NCT01153672,University of Washington,N/A,Interventional,https://clinicaltrials.gov/show/NCT01153672
Cholangiocarcinoma,NCT01151761,Stanford University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01151761
Pheochromocytoma,NCT01152827,Seoul National University Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01152827
Adenoid Cystic Carcinoma,NCT01152840,Seoul National University Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01152840
Adrenocortical Carcinoma,NCT03723941,Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03723941
T-cell Lymphoma,NCT01941680,University Hospital Center of Martinique,None,Observational,https://clinicaltrials.gov/show/NCT01941680
Pheochromocytoma,NCT01949714,University of Aarhus,None,Observational,https://clinicaltrials.gov/show/NCT01949714
Hodgkin Lymphoma,NCT00722865,Massachusetts General Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00722865
Primary Myelofibrosis,NCT00722254,University of Utah,None,Observational,https://clinicaltrials.gov/show/NCT00722254
Fallopian Tube Cancer,NCT01137071,Recepta Biopharma,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01137071
Cutaneous T Cell Lymphoma,NCT01132989,Florida Academic Dermatology Centers,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01132989
Penile Cancer,NCT02817958,UNICANCER,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02817958
Kidney Cancer,NCT04005820,Assistance Publique Hopitaux De Marseille,N/A,Interventional,https://clinicaltrials.gov/show/NCT04005820
Fallopian Tube Cancer,NCT02948426,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02948426
Thymoma,NCT02948855,Tianjin Medical University Cancer Institute and Hospital,None,Observational,https://clinicaltrials.gov/show/NCT02948855
Adenoid Cystic Carcinoma,NCT02942693,Shanghai Proton and Heavy Ion Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02942693
Adrenocortical Carcinoma,NCT00445718,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT00445718
Kidney Cancer,NCT00445757,Case Comprehensive Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00445757
Kaposi's Sarcoma,NCT00444379,"University of California, San Francisco",Phase 4,Interventional,https://clinicaltrials.gov/show/NCT00444379
Leiomyosarcoma,NCT00282087,Sarcoma Alliance for Research through Collaboration,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00282087
Kaposi's Sarcoma,NCT00287495,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00287495
Fallopian Tube Cancer,NCT00287859,"Masonic Cancer Center, University of Minnesota",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00287859
Kidney Cancer,NCT00289146,Emory University,None,Observational,https://clinicaltrials.gov/show/NCT00289146
Hodgkin Lymphoma,NCT02300402,The Lymphoma Academic Research Organisation,None,Observational,https://clinicaltrials.gov/show/NCT02300402
T-cell Lymphoma,NCT02309580,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02309580
Uveal Melanoma,NCT03052127,Aura Biosciences,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03052127
Waldenström's Macroglobulinemia,NCT03053440,BeiGene,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03053440
Adrenocortical Carcinoma,NCT04318730,West China Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04318730
Kidney Cancer,NCT00626509,Gruppo Italiano Carcinoma Renale,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00626509
Pheochromocytoma,NCT04557072,Jagiellonian University,None,Observational,https://clinicaltrials.gov/show/NCT04557072
Pancreatic Neuroendocrine Tumor,NCT04134832,"University Hospital, Strasbourg, France",None,Observational,https://clinicaltrials.gov/show/NCT04134832
Mesothelioma,NCT01950572,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT01950572
Hodgkin Lymphoma,NCT01950364,"Millennium Pharmaceuticals, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01950364
Uveal Melanoma,NCT01955941,OHSU Knight Cancer Institute,None,Observational,https://clinicaltrials.gov/show/NCT01955941
Cholangiocarcinoma,NCT02456714,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02456714
Hodgkin Lymphoma,NCT02453594,Merck Sharp & Dohme Corp.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02453594
Cholangiocarcinoma,NCT02452970,"EpicentRx, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02452970
Pleuropulmonary Blastoma,NCT02452554,Children's Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02452554
Primary Myelofibrosis,NCT03165734,CTI BioPharma,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03165734
Cholangiocarcinoma,NCT03166436,Institute for Clinical and Experimental Medicine,N/A,Interventional,https://clinicaltrials.gov/show/NCT03166436
Pheochromocytoma,NCT03160274,The University of Texas Health Science Center at San Antonio,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT03160274
Thymoma,NCT03078699,Third Military Medical University,N/A,Interventional,https://clinicaltrials.gov/show/NCT03078699
Mesothelioma,NCT03075527,Dana-Farber Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03075527
Cholangiocarcinoma,NCT03079427,Asan Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03079427
Uveal Melanoma,NCT03070392,Immunocore Ltd,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03070392
Thymoma,NCT03076554,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03076554
Mucosal Melanoma,NCT01166126,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01166126
Kidney Cancer,NCT01164228,Eastern Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01164228
Fallopian Tube Cancer,NCT01166737,AGO Study Group,N/A,Interventional,https://clinicaltrials.gov/show/NCT01166737
Hodgkin Lymphoma,NCT01165645,Mayo Clinic,N/A,Interventional,https://clinicaltrials.gov/show/NCT01165645
Hodgkin Lymphoma,NCT01652261,European Organisation for Research and Treatment of Cancer - EORTC,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01652261
Hodgkin Lymphoma,NCT01657331,Columbia University,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01657331
Male Breast Cancer,NCT00089362,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00089362
Kidney Cancer,NCT00088803,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT00088803
Kidney Cancer,NCT00080977,Blumenthal Cancer Center at Carolinas Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00080977
Fallopian Tube Cancer,NCT00085384,M.D. Anderson Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00085384
Kidney Cancer,NCT00085436,Dartmouth-Hitchcock Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00085436
Kidney Cancer,NCT00082914,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00082914
Fallopian Tube Cancer,NCT00086567,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT00086567
Kidney Cancer,NCT00089102,Medical University of South Carolina,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00089102
Kidney Cancer,NCT00087022,Wilex,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00087022
Kidney Cancer,NCT00089778,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00089778
Kidney Cancer,NCT00080873,Children's Oncology Group,N/A,Interventional,https://clinicaltrials.gov/show/NCT00080873
Kidney Cancer,NCT00416871,Centre Leon Berard,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00416871
Kidney Cancer,NCT00416429,Centre Leon Berard,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00416429
Leiomyosarcoma,NCT00414076,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00414076
Male Breast Cancer,NCT01703520,Merck Sharp & Dohme Corp.,None,Observational,https://clinicaltrials.gov/show/NCT01703520
Uveal Melanoma,NCT00872391,Medical University of Vienna,N/A,Interventional,https://clinicaltrials.gov/show/NCT00872391
Pheochromocytoma,NCT00874614,"Molecular Insight Pharmaceuticals, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00874614
Kidney Cancer,NCT00873236,Mount Vernon Cancer Centre at Mount Vernon Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00873236
Hodgkin Lymphoma,NCT00877747,Ospedale Santa Croce-Carle Cuneo,None,Observational,https://clinicaltrials.gov/show/NCT00877747
Fallopian Tube Cancer,NCT00872989,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00872989
Fallopian Tube Cancer,NCT00870233,Memorial Sloan Kettering Cancer Center,None,Observational,https://clinicaltrials.gov/show/NCT00870233
Primary Myelofibrosis,NCT04384692,Fred Hutchinson Cancer Research Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04384692
Cholangiocarcinoma,NCT02073994,"Agios Pharmaceuticals, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02073994
Kidney Cancer,NCT02073110,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),None,Observational,https://clinicaltrials.gov/show/NCT02073110
Kidney Cancer,NCT00496756,University of Nebraska,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00496756
Kidney Cancer,NCT00498966,AEterna Zentaris,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00498966
Chondrosarcoma,NCT00496522,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00496522
Kidney Cancer,NCT00492440,Cytheris SA,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00492440
Kidney Cancer,NCT00492258,Medical Research Council,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00492258
Kidney Cancer,NCT00490698,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00490698
Adenoid Cystic Carcinoma,NCT03087019,Dana-Farber Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03087019
Kidney Cancer,NCT03414827,Zealand University Hospital,None,Observational,https://clinicaltrials.gov/show/NCT03414827
Cholangiocarcinoma,NCT03414489,RedHill Biopharma Limited,None,Expanded Access,https://clinicaltrials.gov/show/NCT03414489
Uveal Melanoma,NCT03417739,Dana-Farber Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03417739
Kidney Cancer,NCT02828709,Dr. Prof. M.P. Laguna Pes,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02828709
Adenoid Cystic Carcinoma,NCT01417143,Seoul National University Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01417143
Pheochromocytoma,NCT01413503,"University of California, San Francisco",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01413503
Richter's Transformation,NCT02138786,Karyopharm Therapeutics Inc,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02138786
Mesothelioma,NCT02139904,Wales Cancer Trials Unit,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02139904
Fallopian Tube Cancer,NCT00091377,"MEI Pharma, Inc.",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00091377
Male Breast Cancer,NCT00096434,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00096434
Fallopian Tube Cancer,NCT00098878,NHS Greater Glasgow and Clyde,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00098878
Male Breast Cancer,NCT00098397,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00098397
Kidney Cancer,NCT00093405,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00093405
Kidney Cancer,NCT00093522,St. Luke's Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00093522
Kidney Cancer,NCT00090870,Medical University of South Carolina,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00090870
Leiomyosarcoma,NCT00093080,Merck Sharp & Dohme Corp.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00093080
Kidney Cancer,NCT00096629,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00096629
Male Breast Cancer,NCT00095888,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00095888
Kidney Cancer,NCT00096525,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00096525
Primary Myelofibrosis,NCT00095784,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00095784
