c,Charity navigator results 1,Location 1,Classification 1,IRS Subsection 1,Cause,Charity navigator results 2,Charity navigator results 3,Charity navigator results 4,Charity navigator results 5,Charity navigator results 6,Charity navigator results 7
Acanthoma,None found,,,,,,,,,,
Adamantinoma,None found,,,,,,,,,,
Adenoacanthoma,None found,,,,,,,,,,
Adenoid cystic carcinoma,Adenoid Cystic Carcinoma Organization International,"LAKE FOREST, CA",Educational Organization,501 (c) (3),,"Adenoid Cystic Carcinoma Research Foundation
NEEDHAM, MA , Fund Raising and/or Fund Distribution",,,,,
Adrenocortical carcinoma,None found,,,,,,,,,,
Adult T-cell leukemia/lymphoma,T Cell Leukemia Lymphoma Foundation,"SEATTLE, WA",Fund Raising and/or Fund Distribution,501 (c) (3),,,,,,,
Aggressive NK-cell leukemia,None found,,,,,,,,,,
Alveolar soft part sarcoma,None found,,,,,,,,,,
Angiosarcoma,Angiosarcoma Awareness Inc.,"Portland, ME",Public Foundations,501(c)(3),,,,,,,
Atypical teratoid rhabdoid tumor,None found,,,,,,,,,,
Bartholin gland carcinoma,None found,,,,,,,,,,
Adenocarcinoma in situ of the lung,LUNGevity Foundation,"Chicago, IL",health,,medical research,,,,,,
Cholangiocarcinoma,Cholangiocarcinoma Foundation,"HERRIMAN, UT",Medical Research N.E.C.,501(c)(3),,"Cholangiocarcinoma Fund Inc. FOSTER CITY, CA, Specifically Named Diseases",,,,,
Chondrosarcoma,Marissa Pogal-Sussman Mesenchymal Chondrosarcoma Researc,"ROCHESTER, NY",Cancer Research,501(c)(3),,,,,,,
Choroid plexus tumor,None found,,,,,,,,,,
Chronic eosinophilic leukemia,None found,,,,,,,,,,
Chronic neutrophilic leukemia,None found,,,,,,,,,,
Clear-cell adenocarcinoma of the vagina,None found,,,,,,,,,,
Clear-cell sarcoma of the kidney,None found,,,,,,,,,,
Collecting duct carcinoma,None found,,,,,,,,,,
Cutaneous T cell lymphoma,T Cell Leukemia Lymphoma Foundation,"SEATTLE, WA",Fund Raising and/or Fund Distribution,501 (c) (3),,,,,,,
Dermatofibrosarcoma protuberans,None found,,,,,,,,,,
